ID,lat,lon,
0,36.7719236,3.2622227,
1,36.7718934,3.2622854,
2,36.7719053,3.2622516,
3,36.7826267,3.2491303,
4,36.7864213,3.2495251,
5,36.7897601,3.2498441,
6,36.7928344,3.250186,
7,36.7972813,3.2506581,
8,36.8020702,3.2511461,
9,36.7719472,3.2622005,
10,36.7718889,3.2623218,
11,36.8035386,3.2581028,
12,36.7709058,3.2568641,
13,36.7634626,3.3322019,
14,36.7639866,3.331481,
15,36.7655312,3.3278944,
16,36.7662829,3.3258461,
17,36.7683349,3.3203118,
18,36.7720063,3.3130265,
19,36.7742032,3.310884,
20,36.7641954,3.2565641,
21,36.7786033,3.305324,
22,36.7804182,3.3053326,
23,36.7819141,3.3053568,
24,36.784164,3.3053895,
25,36.7864638,3.3054727,
26,36.7880341,3.3054963,
27,36.7889833,3.3055386,
28,36.7897014,3.3057194,
29,36.7899345,3.3059295,
30,36.7921073,3.3001135,
31,36.7923361,3.2984115,
32,36.7928289,3.2918943,
33,36.7928414,3.2879555,
34,36.7932441,3.2869849,
35,36.7937733,3.2861771,
36,36.7955279,3.2834914,
37,36.7963582,3.2822045,
38,36.7970185,3.2811031,
39,36.7965994,3.2792806,
40,36.7963026,3.2786529,
41,36.796245,3.2784217,
42,36.7962382,3.2782147,
43,36.7831364,3.2693559,
44,36.7832932,3.2684366,
45,36.7834356,3.2679793,
46,36.7840865,3.2682663,
47,36.7851173,3.2687143,
48,36.7830266,3.2693285,
49,36.782357,3.2693023,
50,36.8036853,3.2560444,
51,36.803185,3.2618933,
52,36.7793526,3.2373347,
53,36.7990477,3.268631,
54,36.7988758,3.2690345,
55,36.7617826,3.3329281,
56,36.7618043,3.2483922,
57,36.7617794,3.2481795,
58,36.7618787,3.2479701,
59,36.7858362,3.288967,
60,36.7846289,3.2888919,
61,36.7828125,3.2887796,
287,36.7755481,3.3004526,
62,36.7612644,3.2485249,
63,36.7621174,3.2478678,
64,36.7612583,3.2484336,
66,36.7607465,3.2486538,
67,36.7607799,3.2479918,
65,36.7612827,3.2483299,
68,36.7615888,3.2479884,
69,36.761641,3.2479356,
70,36.7616247,3.2478278,
71,36.7611052,3.2467065,
72,36.7688445,3.265497,
73,36.768878,3.2656762,
74,36.768559,3.2657553,
75,36.7685611,3.2658961,
76,36.7686224,3.2658948,
77,36.7650113,3.2486352,
78,36.7671422,3.2497374,
79,36.7678996,3.2499621,
80,36.7694592,3.2500413,
81,36.7743465,3.3107242,
82,36.7698772,3.2500289,
83,36.7777233,3.2519542,
84,36.7715872,3.2502577,
85,36.7635663,3.2481826,
1245,36.7720822,3.3158888,
1246,36.7713177,3.3180131,
88,36.7628943,3.3325444,
89,36.7638171,3.3317836,
90,36.7644065,3.3305218,
91,36.7648123,3.3295599,
289,36.7755301,3.3010812,
93,36.7696174,3.3163748,
94,36.7697482,3.3161644,
95,36.770037,3.315761,
96,36.7705022,3.3151308,
97,36.7708855,3.3145654,
98,36.7724208,3.3125027,
99,36.7726633,3.3122419,
100,36.7733343,3.3116224,
101,36.7747467,3.310077,
102,36.7750058,3.3094804,
103,36.7760455,3.3070074,
104,36.776604,3.3056524,
105,36.7767972,3.3053233,
106,36.7769121,3.3052896,
107,36.7894827,3.3055955,
108,36.7904242,3.3065515,
109,36.7913674,3.3054426,
110,36.7914366,3.3052592,
111,36.7822819,3.2549704,
112,36.7833024,3.255271,
113,36.7929664,3.2885073,
114,36.7928567,3.2880899,
115,36.7929105,3.28761,
116,36.7930129,3.2873683,
117,36.7968378,3.2814362,
118,36.7964173,3.2775398,
119,36.7979961,3.271987,
120,36.7997418,3.2675152,
121,36.8005354,3.2662957,
122,36.8015012,3.2646743,
123,36.8024508,3.2631815,
124,36.8030063,3.2622882,
125,36.8032331,3.2616788,
126,36.8039327,3.2529512,
127,36.7876065,3.2602959,
128,36.7966674,3.2573941,
129,36.7970473,3.2519531,
130,36.8040203,3.2513337,
131,36.7679584,3.2701358,
132,36.7677145,3.2705422,
802,36.7676925,3.2705908,
133,36.7676732,3.2706361,
1256,36.7756599,3.2999452,
134,36.7654337,3.2454732,
135,36.772415,3.2506761,
138,36.78108,3.2489758,
139,36.7906671,3.2499398,
140,36.7948758,3.2504092,
141,36.800058,3.2509585,
142,36.7847715,3.2493706,
143,36.7663223,3.2634155,
144,36.7653981,3.2633451,
145,36.7667557,3.2590744,
146,36.7646157,3.255727,
147,36.7651022,3.2571595,
148,36.7646004,3.2571791,
149,36.7674851,3.2549886,
150,36.7661252,3.2529804,
151,36.7547521,3.3058281,
152,36.7585384,3.2996583,
153,36.7621528,3.2998464,
154,36.7566688,3.2929109,
155,36.7529038,3.2978621,
156,36.7381153,3.3181311,
157,36.7586201,3.2970253,
158,36.7620928,3.3006945,
159,36.7537806,3.2930986,
160,36.752358,3.2978728,
161,36.7534798,3.297905,
162,36.7551905,3.2928036,
163,36.7545542,3.2931201,
164,36.7586372,3.2958988,
165,36.753772,3.2980123,
166,36.7586287,3.297272,
167,36.7575542,3.3042885,
168,36.7579324,3.2930289,
169,36.7568149,3.305871,
170,36.7558823,3.3012416,
171,36.7548121,3.3058173,
172,36.7564066,3.2950137,
173,36.7568493,3.3058871,
174,36.7568923,3.305871,
175,36.7551694,3.2931521,
176,36.7572404,3.3059622,
177,36.7526976,3.2978889,
178,36.7531359,3.2978621,
179,36.7560413,3.2950191,
181,36.7962803,3.2779679,
183,36.7581946,3.2930825,
184,36.7549021,3.2980499,
185,36.7972597,3.2746715,
186,36.7535829,3.2979426,
189,36.7903259,3.2515279,
190,36.7692018,3.2474615,
192,36.7657254,3.245602,
193,36.7787042,3.2467635,
194,36.7683584,3.2479451,
195,36.7774011,3.2465047,
196,36.7873238,3.2496024,
197,36.7900862,3.2454088,
198,36.8003045,3.2666506,
199,36.798982,3.2687853,
200,36.8019027,3.2640274,
201,36.7937319,3.2547835,
202,36.7974932,3.2499514,
203,36.7873325,3.2490661,
204,36.7865718,3.2637963,
205,36.795438,3.259935,
206,36.7868068,3.2630136,
207,36.7930494,3.2524777,
208,36.792449,3.246593,
209,36.7926205,3.2443648,
210,36.7873753,3.2485113,
211,36.7908158,3.247918,
212,36.7892954,3.2506159,
213,36.7903053,3.2513381,
214,36.7901994,3.2513485,
215,36.7953444,3.2608631,
216,36.7857387,3.2613244,
217,36.7936342,3.2444864,
218,36.7964224,3.2606646,
219,36.7926782,3.2555024,
220,36.794135,3.2518005,
221,36.7962132,3.2622947,
222,36.7871638,3.2644718,
223,36.7868505,3.2628678,
224,36.7880171,3.2649284,
225,36.7949055,3.2519751,
226,36.7861163,3.2622718,
227,36.7924404,3.2443449,
228,36.7909497,3.2479449,
229,36.7893683,3.2498062,
230,36.7956479,3.2530149,
231,36.7915468,3.2480629,
232,36.7886169,3.2471182,
233,36.7915812,3.2481005,
234,36.7951456,3.2487224,
235,36.7971283,3.2506399,
236,36.7925309,3.2524248,
237,36.793832,3.2531234,
238,36.7837578,3.2733461,
239,36.7800196,3.2739177,
240,36.7859708,3.255435,
241,36.7701285,3.2650425,
242,36.7768533,3.2665444,
243,36.7792786,3.25164,
244,36.7800086,3.2444917,
245,36.7792786,3.2518336,
246,36.783811,3.2578625,
247,36.7808905,3.2539438,
248,36.7833325,3.2458375,
249,36.7802794,3.2548534,
250,36.7840358,3.2458454,
251,36.7803568,3.2474167,
252,36.7802365,3.255214,
253,36.7861123,3.2766292,
254,36.7854464,3.2647579,
255,36.785427,3.2676539,
