ID,lat,lon
0,36.7493317,3.083872
1,36.7808246,3.0617721
2,36.7781639,3.0604709
3,36.777528,3.0601585
4,36.7731257,3.0611306
5,36.773034,3.0611057
6,36.7721739,3.0600445
7,36.7693675,3.0567008
8,36.7682937,3.0562729
9,36.7659776,3.0558999
10,36.7654952,3.0559038
11,36.7645395,3.0560411
12,36.7586295,3.0620878
13,36.7524733,3.0696044
14,36.747942,3.0839241
15,36.7459066,3.090273
16,36.7489591,3.0854515
17,36.7490812,3.0849533
18,36.7472308,3.0876735
19,36.7477342,3.0883033
20,36.7477037,3.088159
21,36.7476302,3.0880235
22,36.7474505,3.0878875
23,36.7472344,3.0905351
24,36.747677,3.0886275
25,36.7475079,3.0892901
26,36.7477172,3.0884714
27,36.7476216,3.0888561
28,36.7596604,3.0619358
29,36.7593759,3.0621109
30,36.7591047,3.0621136
31,36.7589533,3.0619341
32,36.7590538,3.0615522
33,36.7592281,3.0621276
34,36.7589391,3.061803
35,36.7589936,3.0619877
36,36.7587949,3.0629561
37,36.7589643,3.0622906
38,36.7589434,3.0626404
39,36.7587941,3.0620712
40,36.758914,3.0621709
41,36.7589802,3.0624628
42,36.7017421,2.8348589
43,36.7846303,3.0634418
44,36.7858514,3.0634782
45,36.7848571,3.0633161
46,36.7890649,3.0628059
47,36.7872304,3.0632077
48,36.7881731,3.0629978
49,36.7898917,3.0618822
50,36.786723,3.0654819
51,36.7878477,3.064237
52,36.7866321,3.0655389
53,36.7863438,3.0657166
54,36.7863149,3.0655942
55,36.7864947,3.0655889
56,36.7775948,3.0614677
57,36.7791219,3.062111
58,36.7812851,3.062489
59,36.7814342,3.0625085
60,36.7840629,3.0633485
61,36.7848745,3.0646378
62,36.7802194,3.0625926
63,36.7842345,3.0634644
64,36.7844471,3.0638385
65,36.7848105,3.0645325
66,36.7723503,3.0623148
67,36.7733696,3.0619742
68,36.776518,3.0610855
69,36.7768352,3.0611626
70,36.782518,3.0628471
71,36.7838733,3.0632692
72,36.7843163,3.0635553
73,36.7849425,3.0647205
74,36.7711641,3.0612462
75,36.7698252,3.0592638
76,36.7709793,3.0610263
77,36.770295,3.0599326
78,36.7656646,3.0576678
79,36.7673935,3.0582525
80,36.7682025,3.0585237
81,36.7690147,3.0588053
82,36.7694079,3.0589314
83,36.7697058,3.0591088
84,36.7705174,3.0605891
85,36.7696521,3.05998
86,36.7672129,3.0591626
87,36.7668013,3.0590359
88,36.7692659,3.0598562
89,36.7666862,3.0579885
90,36.7665892,3.0579545
91,36.7719784,3.0598112
92,36.7710256,3.0586469
93,36.7701829,3.0575793
94,36.7695018,3.0567298
95,36.7695942,3.0570766
96,36.7698162,3.0571004
97,36.7697383,3.0572353
98,36.7696772,3.0569255
99,36.7615657,3.0479231
100,36.7619429,3.0478361
101,36.7623607,3.0471158
102,36.7625463,3.0468755
103,36.7631203,3.0464818
104,36.7634304,3.0464953
105,36.7636097,3.046944
106,36.7637592,3.0486165
107,36.7644805,3.0488073
108,36.7647275,3.0488364
109,36.7651394,3.0489366
110,36.7652172,3.0496016
111,36.7659884,3.0517032
112,36.7662679,3.0521637
113,36.7678805,3.0539612
114,36.768441,3.0543502
115,36.7620634,3.0476551
116,36.7633495,3.0464854
117,36.7635833,3.0471536
118,36.7648587,3.0488503
119,36.7653603,3.0502411
120,36.7664192,3.0523869
121,36.7697346,3.0553131
122,36.7628809,3.0465986
123,36.7640749,3.0487273
124,36.7651634,3.049152
125,36.7712915,3.0572011
126,36.7716267,3.0576061
127,36.7729251,3.0589204
128,36.771346,3.0590387
129,36.7635948,3.0467346
130,36.768061,3.0540851
131,36.770172,3.0557897
132,36.7716879,3.0576867
133,36.7721782,3.0594169
