source,target,length,type,speed,bidirectional
2691,2692,7.18,service,10,1
1976,712,30.03,primary,100,0
712,710,3.85,primary,100,0
710,713,3.83,primary,100,0
713,711,4.13,primary,100,0
711,714,19.49,primary,100,0
714,708,6.63,primary,100,0
708,715,7.6,primary,100,0
715,716,5.28,primary,100,0
716,717,156.81,primary,100,0
717,718,12.62,primary,100,0
718,719,12.07,primary,100,0
719,720,15.65,primary,100,0
720,731,127.83,primary,100,0
731,721,14.42,primary,100,0
721,722,14.42,primary,100,0
722,723,14.42,primary,100,0
723,724,14.42,primary,100,0
724,725,14.42,primary,100,0
725,732,14.42,primary,100,0
732,726,12.94,primary,100,0
726,727,12.94,primary,100,0
727,728,12.93,primary,100,0
728,729,12.94,primary,100,0
729,730,12.93,primary,100,0
730,733,12.84,primary,100,0
733,734,42.7,primary,100,0
734,737,155.77,primary,100,0
737,736,117.79,primary,100,0
736,703,6.15,primary,100,0
703,704,5.62,primary,100,0
704,1163,32.01,primary,100,0
1163,1193,35.69,primary,100,0
1193,91,128.84,primary,100,0
91,90,96.87,primary,100,0
90,1186,57.71,primary,100,0
1186,14,39.7,primary,100,0
14,738,17.57,primary,100,0
738,89,15.36,primary,100,0
89,705,13.36,primary,100,0
705,739,13.72,primary,100,0
739,706,13.37,primary,100,0
706,13,13.92,primary,100,0
13,3380,12.33,primary,100,0
3380,707,13.67,primary,100,0
3978,3977,11.88,residential,30,1
3977,3976,19.15,residential,30,1
3976,3975,12.94,residential,30,1
3975,3974,10.43,residential,30,1
3974,3973,47.79,residential,30,1
3973,3972,11.5,residential,30,1
3972,3971,8.87,residential,30,1
3971,3970,10.98,residential,30,1
3970,3969,8.77,residential,30,1
3969,3968,10.29,residential,30,1
3968,3967,40.63,residential,30,1
3967,558,36.52,residential,30,1
367,378,51.2,residential,30,1
378,375,11.47,residential,30,1
375,365,22.31,residential,30,1
379,372,162.28,residential,30,1
372,382,54.97,residential,30,1
382,1636,27.88,residential,30,1
294,1654,153.66,residential,30,1
1654,1639,7.64,residential,30,1
1639,280,11.67,residential,30,1
280,1635,33.47,residential,30,1
1694,1740,15.65,residential,30,1
1740,1731,5.76,residential,30,1
1731,1712,19.32,residential,30,1
1712,281,65.15,residential,30,1
281,1674,6.66,residential,30,1
1674,1684,93.52,residential,30,1
1684,1735,38.12,residential,30,1
1750,374,51.12,residential,30,1
388,384,208.94,residential,30,1
384,398,46.5,residential,30,1
398,386,63.48,residential,30,1
386,366,97.97,residential,30,1
366,368,107.79,residential,30,1
1780,371,278.17,residential,30,1
371,361,55.2,residential,30,1
361,1649,190.66,residential,30,1
1679,1690,49.76,residential,30,1
1690,1696,133.77,residential,30,1
1780,3994,95.98,unclassified,50,1
3994,368,92.66,unclassified,50,1
368,399,18.28,unclassified,50,1
399,3993,172.97,unclassified,50,1
3993,3987,184.1,unclassified,50,1
3987,3992,9.55,unclassified,50,1
3992,3991,79.08,unclassified,50,1
433,3744,17.4,residential,30,1
3744,2844,6.71,residential,30,1
2844,2861,7.56,residential,30,1
2861,432,46.14,residential,30,1
2924,434,28.03,residential,30,1
434,1931,21.67,residential,30,1
